Region, subregion, country or area *,Type,Year,Population Density, as of 1 July (persons per square km)_transformed,Median Age, as of 1 July (years)_transformed,Natural Change, Births minus Deaths (thousands)_transformed,Rate of Natural Change (per 1,000 population)_transformed,Population Change (thousands)_transformed,Population Growth Rate (percentage)_transformed,Population Annual Doubling Time (years)_transformed,Births (thousands)_transformed,Births by women aged 15 to 19 (thousands)_transformed,Crude Birth Rate (births per 1,000 population)_transformed,Total Fertility Rate (live births per woman)_transformed,Net Reproduction Rate (surviving daughters per woman)_transformed,Total Deaths (thousands)_transformed,Male Deaths (thousands)_transformed,Female Deaths (thousands)_transformed,Crude Death Rate (deaths per 1,000 population)_transformed,Life Expectancy at Birth, both sexes (years)_transformed,Male Life Expectancy at Birth (years)_transformed,Female Life Expectancy at Birth (years)_transformed,Life Expectancy at Age 15, both sexes (years)_transformed,Male Life Expectancy at Age 15 (years)_transformed,Female Life Expectancy at Age 15 (years)_transformed,Life Expectancy at Age 65, both sexes (years)_transformed,Male Life Expectancy at Age 65 (years)_transformed,Female Life Expectancy at Age 65 (years)_transformed,Life Expectancy at Age 80, both sexes (years)_transformed,Male Life Expectancy at Age 80 (years)_transformed,Female Life Expectancy at Age 80 (years)_transformed,Infant Deaths, under age 1 (thousands)_transformed,Infant Mortality Rate (infant deaths per 1,000 live births)_transformed,Live Births Surviving to Age 1 (thousands)_transformed,Under-Five Deaths, under age 5 (thousands)_transformed
Burundi,Country/Area,2022,100,18.971134,31.667879,70.724593,57.199524,63.70416,25.654701,47.756045,31.457971,59.465455,55.204838,58.581165,45.937637,41.971716,49.089139,32.461296,56.930144,50.073514,54.813578,39.325461,45.136033,46.967177,44.580402,45.983081,37.205694,38.618926,38.827341,38.660229,21.310596,43.722055,39.497896,28.664399,44.976279,46.026925,42.087386,48.368452,48.022698,49.237832,45.452869,44.296585,53.518363,48.615699,49.366084,50.467194,53.429841,51.030379,50.275948
Comoros,Country/Area,2022,100,30.827408,30.971575,59.576426,38.187393,51.443623,39.457168,35.513088,31.093266,51.3949,42.887321,45.539033,38.949559,34.833797,41.722699,37.31444,59.916017,52.399707,58.359247,42.571165,48.224574,51.447149,41.557051,41.38154,36.045192,33.871483,33.170963,35.712252,21.032163,46.838412,28.38808,28.424715,46.667745,40.193835,35.627861,43.025528,43.554711,45.32626,40.036179,34.989311,44.361431,38.288533,43.15255,45.193496,46.445666,50.873587,47.470394
Djibouti,Country/Area,2022,15.794116,40.63686,30.966171,46.747118,38.207186,45.628079,52.297448,35.523343,31.082763,40.613553,29.566412,28.841388,39.181917,35.075441,41.962709,39.045143,58.476556,50.490458,57.457066,41.02759,45.805672,50.085727,45.074946,45.756776,38.946447,38.491049,37.887807,39.683271,21.028306,43.775417,28.40146,28.422929,45.090009,44.34797,41.401626,45.669915,46.14791,48.584477,42.144637,41.727088,52.535155,43.838708,46.765474,49.507694,49.36974,50.987261,50.991132
Eritrea,Country/Area,2022,9.927029,25.953016,31.105349,61.896436,40.928843,50.22578,41.617507,37.893623,31.218195,50.682428,41.434131,44.733581,40.369463,36.249696,43.258943,30.132425,65.042671,57.124534,62.590445,46.954732,53.669152,54.855414,49.913327,51.161162,43.698703,46.275575,47.915894,45.484998,21.067614,41.080851,30.568988,28.453385,42.005007,38.870452,34.705114,41.282812,39.458634,41.100114,36.687398,34.538789,44.092649,37.844066,38.751379,40.388735,43.831433,50.279656,44.979389
Ethiopia,Country/Area,2022,40.325103,26.570228,37.565848,68.196821,100,61.377942,27.519812,89.710882,35.814253,55.951008,44.628843,48.017348,93.803359,91.753348,99.056233,29.215232,63.361255,54.156023,62.954228,45.690959,50.192494,55.910633,48.378709,48.53171,43.605863,42.774936,42.029426,44.13889,23.354627,42.206192,77.198745,30.361292,43.37379,40.187849,37.786085,40.832389,40.896645,44.231458,35.838757,35.854888,47.862177,35.927109,40.165438,44.084016,42.256209,50.481644,49.997821
Kenya,Country/Area,2022,30.402978,28.508907,33.194304,58.45278,97.688768,53.550903,36.182718,78.66192,33.108026,49.313123,35.782836,37.763321,72.329957,69.968283,75.721173,34.530961,57.066902,49.271823,56.13613,35.000187,37.99959,44.819051,48.465382,47.216984,44.493647,61.57289,57.924807,61.342153,21.788977,40.874544,67.797337,29.062528,42.229569,43.099834,38.845624,45.69885,53.894099,56.591149,49.387499,53.442988,64.33923,56.083072,62.475185,65.664274,62.423507,50.560001,49.900697
Madagascar,Country/Area,2022,16.625592,27.831028,32.42992,65.527078,77.555551,59.325397,29.388155,61.502972,33.025141,54.034599,41.491798,44.361834,54.533288,51.655699,57.114938,30.419546,62.633634,54.730729,60.875007,45.024097,51.203786,53.548166,47.751606,48.962767,41.760665,42.407289,43.122354,42.994698,21.563429,42.442749,52.039295,28.870931,43.625336,40.550689,36.900087,42.47714,41.683167,43.567565,38.269717,36.281977,46.389459,38.809283,41.125956,43.06335,45.120994,50.893186,50.04859
Malawi,Country/Area,2022,70.546941,22.181164,32.046915,68.783749,66.966211,61.569513,27.357113,54.417005,32.591292,57.150309,42.160726,46.313507,49.731993,46.151173,52.74122,30.957898,58.544935,49.273432,58.787703,36.965796,37.99139,48.670131,45.401244,41.316881,43.698703,52.909207,40.092836,57.424978,21.353762,40.71786,45.665047,28.697217,42.132564,40.866643,37.544299,42.858944,50.576976,55.173113,44.543292,48.031444,61.404362,47.701258,57.275112,63.464467,55.560066,50.716794,49.780396
Mauritius,Country/Area,2022,100,75.35372,30.936837,25.228162,37.364398,27.538314,99.449297,35.19084,31.080886,22.529761,13.835052,11.988848,39.386514,35.289196,42.172919,41.948256,77.966258,67.598036,76.25251,58.993217,64.790633,70.158453,64.030794,62.411768,63.52588,75.159847,77.942632,71.572576,21.01486,35.9191,28.106967,28.410853,37.15294,28.80627,23.366222,32.240474,29.475695,32.505193,24.839949,24.103521,35.057148,24.603202,27.928671,32.077444,31.084425,50.951983,50.104877
Mayotte,Country/Area,2022,100,21.189405,30.95616,76.278765,37.886156,67.918719,22.81232,35.116813,31.078788,57.708231,48.134952,57.125155,38.453872,34.309378,41.220908,15.134334,79.849304,69.043657,78.506347,59.524841,64.7879,71.599958,62.720506,59.518293,65.771451,67.790921,64.846679,70.186084,21.012275,32.638582,28.041006,28.408986,34.639045,26.714167,21.208897,30.613773,27.156995,30.164927,23.046528,22.065615,33.311261,23.255846,25.989113,30.168947,29.998138,50.951983,50.104877
